# Daylight Saving Time Observance and Clock-Change Dates by Country (Selected Examples)

| Country/Territory | Region | DST Observed? | DST Start (clocks forward) | DST End (clocks back) |
|---|---|---|---|---|
| United States | North America | Yes | Second Sunday in March (02:00 local) | First Sunday in November (02:00 local) |
| Canada | North America | Yes (most provinces) | Second Sunday in March (02:00 local) | First Sunday in November (02:00 local) |
| Mexico | North America | Partly (selected border areas) | First Sunday in March (02:00 local) | First Sunday in November (02:00 local) |
| Brazil | South America | No | Not observed | Not observed |
| Chile | South America | Yes | First Saturday in September (24:00/00:00 local) | First Saturday in April (24:00/00:00 local) |
| Argentina | South America | No | Not observed | Not observed |
| United Kingdom | Europe | Yes | Last Sunday in March (01:00 UTC) | Last Sunday in October (01:00 UTC) |
| Iceland | Europe | No | Not observed | Not observed |
| South Africa | Africa | No | Not observed | Not observed |
| New Zealand | Oceania | Yes | Last Sunday in September (02:00 local) | First Sunday in April (03:00 local) |
