# Jojoba oil
> Chemistry

| Fatty acid | Carbon atoms:double bonds | double bond positions | Percentage (mole fraction) |
| --- | --- | --- | --- |
| Palmitic acid | C16:0 | - | 0.3 |
| Palmitoleic acid | C16:1 | 9 | 0.3 |
| Stearic acid | C18:0 | - | 0.2 |
| Oleic acid | C18:1 | 9 | 9.3 |
| Arachidic acid | C20:0 | - | - |
| 11-Eicosenoic acid | C20:1 | 11 | 76.7 |
| Behenic acid | C22:0 | - | trace |
| Erucic acid | C22:1 | 13 | 12.1 |
| Lignoceric acid | C24:0 | - | 0.1 |
| Nervonic acid | C24:1 | 15 | 1.0 |
