# Deer-Resistant Landscape Plants (Plant-by-Plant Comparison with Rating Scale)

| Common Name | Latin Name | Plant Category | Deer-Resistance Rating |
| --- | --- | --- | --- |
| Lavender | Lavandula angustifolia | Perennial | High |
| Russian Sage | Salvia yangii (syn. Perovskia atriplicifolia) | Perennial | High |
| Catmint | Nepeta × faassenii | Perennial | High |
| Daffodil | Narcissus spp. | Bulb | Very High |
| Lenten Rose | Helleborus orientalis | Perennial | High |
| Japanese Spurge | Pachysandra terminalis | Groundcover | High |
| Boxwood | Buxus sempervirens | Shrub | High |
| Butterfly Bush | Buddleja davidii | Shrub | Medium |
| Yarrow | Achillea millefolium | Perennial | Medium |
| Ornamental Allium | Allium spp. | Bulb | Very High |
