# Yoga Pose Cross-Reference (English Poses Mapped to Non-Sanskrit Names)

| English Pose Name | Supposed "Traditional" Name | Language | Pose Type |
| --- | --- | --- | --- |
| Downward-Facing Dog | Perro boca abajo | Spanish | Standing/Invert |
| Tree Pose | Arbre | French | Standing |
| Triangle Pose | Dreieck | German | Standing |
| Cobra Pose | Serpent | French | Backbend |
| Child's Pose | Enfant | French | Resting |
| Seated Forward Bend | S'asseoir et plier | French | Seated |
| Warrior II | Guerrero II | Spanish | Standing |
| Bridge Pose | Ponte | Italian | Backbend |
| Cat Pose | Gatto | Italian | Warm-up |
| Corpse Pose | Cadavre | French | Resting |
