# Indian Union Territories and Capitals (Reference Table)

| No. | Union Territory | Capital | Category |
| --- | --- | --- | --- |
| 1 | Andaman and Nicobar Islands | Port Blair | Island UT |
| 2 | Chandigarh | Chandigarh | City UT |
| 3 | Dadra and Nagar Haveli and Daman and Diu | Daman | Combined UT |
| 4 | Delhi (NCT) | New Delhi | National Capital Territory |
| 5 | Jammu and Kashmir | Srinagar (summer), Jammu (winter) | UT with seasonal capitals |
| 6 | Ladakh | Leh | Himalayan UT |
| 7 | Lakshadweep | Kavaratti | Island UT |
| 8 | Puducherry | Puducherry | UT |
| 9 | (Legacy reference) Daman and Diu | Daman | Merged into combined UT |
| 10 | (Legacy reference) Dadra and Nagar Haveli | Silvassa | Merged into combined UT |
