# The Mark Levin Show — Selected Affiliate Stations and Local Air Times (Weekday Schedule)

| Region | Station | Days | Local Start Time | Notes |
| --- | --- | --- | --- | --- |
| Northeast | WABC | Mon–Fri | 6:00 PM | Live/Delay varies by market |
| Southeast | WSB | Mon–Fri | 6:00 PM | Evening talk block |
| Midwest | WLS | Mon–Fri | 5:00 PM | Local drive-time slot |
| Southwest | KFYI | Mon–Fri | 3:00 PM | Afternoon airing |
| West | KVI | Mon–Fri | 3:00 PM | Pacific time market |
| West | KSFO | Mon–Fri | 3:00 PM | Often carries national talk |
| Mountain | KNRS | Mon–Fri | 4:00 PM | Mountain time market |
| Mid-Atlantic | WBAL | Mon–Fri | 6:00 PM | News/Talk affiliate |
| Florida | WFLA | Mon–Fri | 6:00 PM | Local lineup may shift |
| Texas | WBAP | Mon–Fri | 5:00 PM | Central time market |
