# Screen projects featuring LGBT characters (project field not separated)

| Character | Screen Project | Orientation | Project Type |
| --- | --- | --- | --- |
| Ian Gallagher | Shameless (US) | Gay | TV series |
| Mickey Milkovich | Shameless (US) | Gay | TV series |
| Korra | The Legend of Korra | Bisexual | Animated TV series |
| Asami Sato | The Legend of Korra | Bisexual | Animated TV series |
| Harley Quinn | Harley Quinn | Bisexual | Animated TV series |
| Nico Minoru | Runaways | Lesbian | TV series |
| Ennis Del Mar | Brokeback Mountain | Gay | Film |
| Carol Aird | Carol | Lesbian | Film |
| Lily Houghton | Jungle Cruise | Bisexual | Film |
