# Biblical Baby Names (New Testament)  Meaning, Gender, Origin, and Name Notes

| Name | Gender | Meaning | Origin (Language) | Biblical tradition / notes |
| --- | --- | --- | --- | --- |
| Mary | Girl | Beloved; bitter (traditional interpretations vary) | Hebrew (via Greek/Latin) | Mother of Jesus (Mary in the Gospels) |
| Joseph | Boy | He will add; God will increase | Hebrew | Husband of Mary; also a common biblical name |
| John | Boy | God is gracious | Hebrew (via Greek/Latin) | John the Baptist; John the Apostle |
| Peter | Boy | Rock; stone | Greek | Apostle; original name Simon |
| Paul | Boy | Small; humble | Latin | Apostle; formerly Saul |
| Luke | Boy | From Lucania (traditional); light-associated root in later use | Greek/Latin | Author traditionally linked to the Gospel of Luke |
| Matthew | Boy | Gift of God | Hebrew (via Greek) | Apostle; linked to the Gospel of Matthew |
| Mark | Boy | Dedicated to Mars (traditional Latin meaning) | Latin | Linked to the Gospel of Mark |
| James | Boy | Supplanter (via Jacob tradition) | Hebrew (via Greek/Latin) | Multiple figures named James in the New Testament |
| Martha | Girl | Lady; mistress | Aramaic | Sister of Mary and Lazarus |
| Elizabeth | Girl | God is my oath | Hebrew (via Greek/Latin) | Mother of John the Baptist |
| Anna | Girl | Grace; favor | Hebrew | Prophetess in the Temple (Luke 2) |
