# Hispanics in the United States Marine Corps
> United States Naval Academy

| Name | Class | Highest rank reached |
| --- | --- | --- |
| Pedro Augusto del Valle | 1915 | O9 Lieutenant General |
| Jaime Sabater | 1927 | O6 Colonel |
| James Rockwell | 1933 | O2 1st Lieutenant |
| Leon J. Hernandez | 1944 | O6 Colonel |
| Baldomero Lopez | 1947 | O2 1st Lieutenant |
| George A. Bacas | 1948 | O4 Major |
| John Gonzalez | 1955 | O6 Colonel |
| Ramiro Saenz | 1959 | O5 Lieutenant Colonel |
| Angelo Fernandez | 1959 | O6 Colonel |
| Joseph V. Medina | 1979 | O7 Brigadier General |
| Christopher J. "Gus" Loria | 1983 | O5 Lieutenant Colonel |
| George David Zamka | 1984 | O6 Colonel |
