# Venomous Snakes Recorded in Everglades National Park (Florida, USA)

| Species (Scientific) | Common Name | Park Zone | Relative Encounter Likelihood | Notes |
|---|---|---|---|---|
| Agkistrodon piscivorus | Cottonmouth | Freshwater sloughs | Medium | Often near water |
| Crotalus adamanteus | Eastern diamondback rattlesnake | Pine rocklands | Low | Usually avoids people |
| Sistrurus miliarius | Pygmy rattlesnake | Prairie/edges | Medium | Small rattlesnake |
| Micrurus fulvius | Eastern coral snake | Hammocks | Low | Secretive, rarely observed |
| Agkistrodon conanti | Florida cottonmouth | Marsh margins | Medium | Sometimes treated as subspecies |
| Crotalus horridus | Timber rattlesnake | Upland edges | Very low | Occasional/uncertain records |
| Nerodia fasciata | Banded watersnake | Canals | High | Non-venomous look-alike |
| Pantherophis guttatus | Corn snake | Developed areas | Medium | Non-venomous |
| Coluber constrictor | Southern black racer | Trails | High | Non-venomous |
