# Plane Figures  Rotational Symmetry Orders Shown as Expressions (Not Plain Numbers)

| 2D Shape | Rotational symmetry order (expression) | How it is presented |
| --- | --- | --- |
| Regular triangle | 360/120 | computed from angle |
| Square | 360/90 | computed from angle |
| Regular pentagon | 360/72 | computed from angle |
| Regular hexagon | 360/60 | computed from angle |
| Rectangle | 360/180 | computed from angle |
| Parallelogram | 360/180 | computed from angle |
| Rhombus (non-square) | 360/180 | computed from angle |
| Regular octagon | 360/45 | computed from angle |
| Scalene triangle | 360/360 | computed from angle |
| Circle | 360/θ | depends on chosen θ |
