# NHL Presidents' Trophy Winners — Playoff Finish (2001–2011)

| NHL Season | Presidents' Trophy Winner | Playoff Finish Category | Stanley Cup Result | Cup Won by Presidents' Trophy Team? |
|---|---|---|---|---|
| 2000–01 | Colorado Avalanche | Conference Final | Lost in Western Conference Final | No |
| 2001–02 | Detroit Red Wings | Won the Cup | Won Stanley Cup Final | Yes |
| 2002–03 | Ottawa Senators | Conference Final | Lost in Eastern Conference Final | No |
| 2003–04 | Tampa Bay Lightning | Won the Cup | Won Stanley Cup Final | Yes |
| 2005–06 | Detroit Red Wings | Conference Final | Lost in Western Conference Final | No |
| 2006–07 | Buffalo Sabres | Conference Final | Lost in Eastern Conference Final | No |
| 2007–08 | Detroit Red Wings | Won the Cup | Won Stanley Cup Final | Yes |
| 2008–09 | San Jose Sharks | First Round | Lost in First Round | No |
| 2009–10 | Washington Capitals | First Round | Lost in First Round | No |
| 2010–11 | Vancouver Canucks | Lost in the Final | Lost in Stanley Cup Final | No |
