# Red Wine Varietals  Body Level and Common Flavor Families

| Body Tier | Varietal | Fruit Character | Non-Fruit Notes (common) | Mouthfeel / Texture Cues |
| --- | --- | --- | --- | --- |
| Light | Pinot Noir | Red cherry, cranberry, strawberry | Rose petal, forest floor, clove | Silky, lower tannin, lively acidity |
| Light | Zweigelt | Sour cherry, red berries | Pepper, subtle smoke | Juicy, light tannin, fresh |
| Medium | Sangiovese | Tart cherry, plum | Tomato leaf, dried herbs, leather | Firm acidity, medium tannin |
| Medium | Merlot | Plum, blackberry | Cocoa, cedar, vanilla (oak) | Plush, medium tannin |
| Medium-full | Cabernet Franc | Raspberry, blackcurrant | Bell pepper, graphite, violet | Chalky tannin, lifted aromatics |
| Full | Cabernet Sauvignon | Cassis, blackberry | Cedar, tobacco, baking spice | High tannin, structured |
| Full | Nebbiolo | Cherry, dried strawberry | Tar, rose, anise | Very high tannin, grippy, high acidity |
| Full | Mourvèdre (Monastrell) | Black plum, blackberry | Game, smoke, herbs | Dense, high tannin |
| Full | Petit Verdot | Black fruit, blueberry | Violet, cedar, spice | Powerful, very tannic |
| Full | Tannat | Black berry, prune | Coffee, dark chocolate, earth | Very muscular tannin, deep color |
