# State Treatment of Capital Gains (Preferential vs Ordinary) — Summary Categories

| State | Category | Summary of Capital Gains Treatment | Example Maximum Rate Mentioned |
|---|---|---|---:|
| California | Ordinary Income | Taxes capital gains as ordinary income | 13.3% |
| New York | Ordinary Income | No special preference for capital gains | 10.9% |
| Massachusetts | Partial Preference | Preferential treatment for some long-term gains | 8.5% |
| Hawaii | Partial Preference | Certain exclusions/credits may apply | 11.0% |
| Minnesota | Ordinary Income | Taxes gains as ordinary income | 9.85% |
| Nevada | No Income Tax | No state tax on capital gains | 0.0% |
| Texas | No Income Tax | No state tax on capital gains | 0.0% |
| Washington | Excise-Style | Separate capital gains excise tax regime | 7.0% |
| Florida | No Income Tax | No state tax on capital gains | 0.0% |
