# Biblical Baby Names (Hebrew Christian Tradition)  Meanings, Origins, and Gender

| Name | Gender | Linguistic Origin | Meaning / Etymology | Bible Tradition Notes |
|---|---|---|---|---|
| Abigail | Girl | Hebrew | “My father is joy” / “father’s joy” | Common OT given name; wife of Nabal, later David’s wife |
| Hannah | Girl | Hebrew | “Grace” / “favor” | Mother of Samuel in the OT |
| Miriam | Girl | Hebrew | Often glossed as “bitterness” or “beloved” (etymology debated) | Sister of Moses; also Mary’s Hebrew form |
| Ruth | Girl | Hebrew | “Companion” / “friend” | Central figure in the Book of Ruth |
| Sarah | Girl | Hebrew | “Princess” / “noblewoman” | Matriarch; wife of Abraham |
| Deborah | Girl | Hebrew | “Bee” | Prophetess and judge in Judges |
| Esther | Girl | Hebrew/Persian | Commonly linked to “star” (Persian) | Queen in the Book of Esther |
| Elizabeth | Girl | Hebrew (via Greek/Latin) | “My God is an oath” / “God is my oath” | Mother of John the Baptist in the NT |
| Joseph | Boy | Hebrew | “He will add” / “may God increase” | Patriarch Joseph (OT); also NT Joseph |
| Daniel | Boy | Hebrew | “God is my judge” | Prophet in the Book of Daniel |
| Samuel | Boy | Hebrew | “Heard by God” / “God has heard” | Prophet who anointed Saul and David |
| Isaac | Boy | Hebrew | “He laughs” / “laughter” | Son of Abraham and Sarah |
| Jacob | Boy | Hebrew | Traditionally “supplanter” / “heel-grabber” | Patriarch; later named Israel |
| Joshua | Boy | Hebrew | “YHWH is salvation” | Successor of Moses; also related to Jesus’ Hebrew name |
| Luke | Boy | Greek/Latin | Often connected with “from Lucania” | Author associated with the Gospel of Luke and Acts |
