# High-Zinc Foods You Can Compare Quickly (Standardized Servings)

| Category | Food item | Serving size | Zinc (mg) | % Daily Value (DV) |
| --- | --- | --- | ---: | ---: |
| Seafood | Mussels, cooked | 3 oz (85 g) | 3.4 | 23% |
| Seafood | Sardines, canned in oil, drained | 3 oz (85 g) | 1.8 | 12% |
| Meat | Lamb, cooked | 3 oz (85 g) | 4.6 | 31% |
| Meat | Venison, cooked | 3 oz (85 g) | 4.0 | 27% |
| Meat (organ) | Beef liver, cooked | 3 oz (85 g) | 4.0 | 27% |
| Dairy | Greek yogurt, plain | 1 cup (245 g) | 1.5 | 10% |
| Dairy | Milk, 2% | 1 cup (244 g) | 1.0 | 7% |
| Seeds & Nuts | Hemp seeds | 3 Tbsp (30 g) | 3.0 | 20% |
| Seeds & Nuts | Sesame seeds | 1 oz (28 g) | 2.2 | 15% |
| Grains (fortified) | Breakfast cereal, fortified | 1 serving | 3.8 | 25% |
