# iPod Games Compatible With iPod nano Models (Catalog Only)

| iPod model | Generation(s) | Game title | Publisher | Availability note |
| --- | --- | --- | --- | --- |
| iPod nano | 1st–2nd gen | Brick | Apple | Built-in classic game |
| iPod nano | 1st–2nd gen | Music Quiz | Apple | Built-in |
| iPod nano | 1st–2nd gen | Parachute | Apple | Built-in |
| iPod nano | 1st–2nd gen | Solitaire | Apple | Built-in |
| iPod nano | 3rd gen | iQuiz | Apple | iTunes extras |
| iPod nano | 3rd gen | Klondike | Apple | iTunes extras |
| iPod nano | 3rd gen | Vortex | Apple | iTunes extras |
| iPod nano | 4th–5th gen | Maze | Apple | Preloaded on some units |
| iPod nano | 4th–5th gen | Vortex | Apple | Available depending on firmware |
| iPod nano | 4th–5th gen | Brick | Apple | Included variant |
