# Top Baby Names by Theme Category (Grouped, Not One List of Names)

| Theme Group | Name | Popularity Rank (Approx.) | Why Parents Choose It |
|---|---|---:|---|
| Nature | Lily | 25 | Floral, simple |
| Nature | River | 110 | Outdoorsy, modern |
| Royal | Charlotte | 5 | Classic, regal |
| Royal | Henry | 9 | Traditional king name |
| Vintage | Theodore | 8 | Old-fashioned comeback |
| Vintage | Eleanor | 14 | Historic, elegant |
| Modern | Nova | 40 | Space-inspired |
| Modern | Maverick | 50 | Bold sound |
| Biblical | Noah | 2 | Familiar, timeless |
| Biblical | Levi | 12 | Short, strong |
