# Zombie Video Games by Platform (Full Platform Names)

| Game | Release Year | Platform(s) (full names) |
| --- | --- | --- |
| Dying Light | 2015 | PlayStation 4; Xbox One; Windows |
| Dead Island: Definitive Edition | 2016 | PlayStation 4; Xbox One; Windows |
| Dead Rising 4 | 2016 | Xbox One; Windows |
| World War Z | 2019 | PlayStation 4; Xbox One; Windows |
| Zombie Army 4: Dead War | 2020 | PlayStation 4; Xbox One; Windows |
| Back 4 Blood | 2021 | PlayStation 4; PlayStation 5; Xbox One; Xbox Series X/S; Windows |
| The Walking Dead: Saints & Sinners | 2020 | PlayStation 4; Windows |
| Resident Evil 2 (Remake) | 2019 | PlayStation 4; Xbox One; Windows |
| State of Decay 2 | 2018 | Xbox One; Windows |
| Plants vs. Zombies: Garden Warfare 2 | 2016 | PlayStation 4; Xbox One; Windows |
