# Selected Element Concentrations in the Earth's Crust (ppm by mass)

| Element | Symbol | Concentration (ppm) | Notes |
|---|---|---:|---|
| Oxygen | O | 466000 | major crust-forming element |
| Silicon | Si | 277000 | major crust-forming element |
| Aluminum | Al | 81000 | major crust-forming element |
| Iron | Fe | 50000 | major crust-forming element |
| Calcium | Ca | 36000 | common in feldspars/carbonates |
| Sodium | Na | 28000 | alkali metal in silicates |
| Potassium | K | 26000 | alkali metal in feldspars/micas |
| Magnesium | Mg | 21000 | abundant in mafic minerals |
| Titanium | Ti | 4400 | minor element, often in oxides |
| Phosphorus | P | 1100 | minor element, often in apatite |
| Manganese | Mn | 1000 | minor element |
| Carbon | C | 200 | trace to minor depending on estimate |
