# Unsuccessful U.S. Supreme Court Nominees and the Presidents Who Nominated Them (Person-by-Person)

| Nominee | Nominated by (President) | Nomination Year | Outcome | Senate Action / Vote | Notes |
| --- | --- | --- | --- | --- | --- |
| John J. Parker | Herbert Hoover | 1930 | Rejected | 39–41 | Controversial civil rights and labor record |
| Clement F. Haynsworth Jr. | Richard Nixon | 1969 | Rejected | 45–55 | Ethics and conflicts-of-interest concerns raised |
| G. Harrold Carswell | Richard Nixon | 1970 | Rejected | 45–51 | Criticized for judicial record and segregation-era statements |
| Lewis F. Powell Jr. | Richard Nixon | 1971 | Confirmed | 89–1 | Listed here to show contrast with failed nominees |
| Robert H. Bork | Ronald Reagan | 1987 | Rejected | 42–58 | Highly publicized ideological battle |
| Douglas H. Ginsburg | Ronald Reagan | 1987 | Withdrawn | No final vote | Withdrew after revelations about past marijuana use |
| Harriet E. Miers | George W. Bush | 2005 | Withdrawn | No final vote | Withdrew amid bipartisan concerns about qualifications |
| Merrick B. Garland | Barack Obama | 2016 | No action | No hearings/vote | Nomination expired without Senate consideration |
| Brett M. Kavanaugh (D.C. Circuit nomination referenced) | George W. Bush | 2004 | Delayed (court nomination) | N/A | Included as contextual note; not a Supreme Court nomination in 2004 |
| Homer Thornberry | Lyndon B. Johnson | 1968 | Withdrawn | No final vote | Withdrawn after Fortas nomination controversy |
