# Best Economics Programs and Degrees to Consider (Universities and Tracks)

| University | Degree | Track / Concentration | Typical Duration | Notes |
|---|---|---:|---:|---|
| University of Chicago | BA/MA Economics | Economic Policy | 4 yrs / 1 yr | Strong theory + policy prep |
| London School of Economics (LSE) | BSc Economics | Econometrics & Mathematical Economics | 3 yrs | Quant-heavy curriculum |
| MIT | PhD Economics | Macro/Development/IO | 5-6 yrs | Research-focused placement |
| UC Berkeley | BA Economics | Public Economics | 4 yrs | Strong public sector pipeline |
| Stanford University | MS Economics | Data & Research Methods | 1-2 yrs | Applied research emphasis |
| Columbia University | MA Economics | Finance Economics | 1 yr | Often paired with finance careers |
| University of Michigan | BA Economics | Labor Economics | 4 yrs | Large applied faculty |
| NYU | BS Economics | Global Economics | 4 yrs | International orientation |
| University of Toronto | BA Economics | Industrial Organization | 4 yrs | Strong quantitative sequence |
| National University of Singapore (NUS) | BA Economics | Development Economics | 4 yrs | Asia-focused development |
| University of Warwick | BSc Economics | Behavioral Economics | 3 yrs | Behavioral specialization |
