# Economy of Vietnam
> Trade

| Year | Total trade (US$ Billions) | Export (US$ Billions) | Export change (%) | Import (US$ Billions) | Import change (%) | Account Balance (US$ Billions) |
| --- | --- | --- | --- | --- | --- | --- |
| 2001 | 31.20 | 15.00 |  | 16.20 |  | -1.2 |
| 2002 | 36.40 | 16.70 | 11.3 | 19.70 | 21.6 | -3.0 |
| 2003 | 45.20 | 20.2 | 21.0 | 25.2 | 27.9 | -5.1 |
| 2004 | 58.50 | 26.5 | 31.2 | 32.0 | 27.0 | -5.4 |
| 2005 | 69.40 | 32.4 | 22.3 | 37.0 | 5.7 | -4.5 |
| 2006 | 84.70 | 39.8 | 22.8 | 44.9 | 21.4 | -5.1 |
| 2007 | 111.30 | 48.6 | 22.1 | 62.7 | 39.6 | -14.1 |
| 2008 | 143.40 | 62.7 | 29.0 | 80.7 | 28.7 | -18.0 |
| 2009 | 127.00 | 57.1 | -8.9 | 69.9 | -13.4 | -12.9 |
| 2010 | 157.00 | 72.2 | 26.4 | 84.8 | 21.3 | -12.6 |
| 2011 | 203.41 | 96.91 | 34.2 | 106.75 | 25.8 | -9.84 [41] |
| 2012 | 228.57 | 114.57 | 18.2 | 113.79 | 6.6 | 0.780 [42] |
| 2013 | 263.47 | 132.17 | 15.4 | 131.30 | 15.4 | 0.863 |
| 2014 | 298.23 | 150.19 | 13.7 | 148.04 | 12.1 | 2.14 |
| 2015 | 327.76 | 162.11 | 7.9 | 165.65 | 12 | -3,54 [43] |
