# Cost of Living in Japan . Prices in Japan . Updated June 2016

| Category | Item | Average (JPY) | Note |
| --- | --- | --- | --- |
| Restaurants | Meal, Inexpensive Restaurant | 850 | Listed amount |
| Restaurants | Meal for 2 People, Mid-range Restaurant, Three-course | 5,000 | Listed amount |
| Restaurants | McMeal at McDonalds (or Equivalent Combo Meal) | 650 | Listed amount |
| Restaurants | Domestic Beer (1 pint draught) | 500 | Listed amount |
| Markets | Milk (regular), 1 liter | 210 | Listed amount |
| Markets | Eggs (12) | 240 | Listed amount |
| Transportation | One-way Ticket (Local Transport) | 200 | Listed amount |
| Transportation | Taxi Start (Normal Tariff) | 410 | Listed amount |
| Utilities | Basic (Electricity, Heating, Cooling, Water, Garbage) | 19,000 | Listed amount |
