# Comparison Table  Density of Common Pure Metal Elements (g cm³)

| Category | Metal (element) | Symbol | Density (g/cm³) | Typical state at room temperature |
| --- | --- | --- | --- | --- |
| Alkali metal | Lithium | Li | 0.534 | solid |
| Alkali metal | Sodium | Na | 0.971 | solid |
| Alkaline earth metal | Magnesium | Mg | 1.74 | solid |
| Post-transition metal | Aluminum | Al | 2.70 | solid |
| Transition metal | Vanadium | V | 6.11 | solid |
| Transition metal | Manganese | Mn | 7.21 | solid |
| Transition metal | Cobalt | Co | 8.90 | solid |
| Transition metal | Copper | Cu | 8.96 | solid |
| Post-transition metal | Bismuth | Bi | 9.78 | solid |
| Noble metal | Silver | Ag | 10.49 | solid |
| Post-transition metal | Lead | Pb | 11.34 | solid |
| Noble metal | Gold | Au | 19.32 | solid |
