# Glycemic Index (GI) of Common Starchy Foods and Legumes

| Group | Food item | GI (glucose=100) | Serving/portion |
| --- | --- | --- | --- |
| Rice & grains | White rice, boiled | 73 | 1 cup cooked |
| Rice & grains | Brown rice, boiled | 50 | 1 cup cooked |
| Rice & grains | Quinoa, cooked | 53 | 1 cup cooked |
| Pasta | Spaghetti, cooked (average) | 49 | 1 cup cooked |
| Pasta | Whole-wheat pasta, cooked | 42 | 1 cup cooked |
| Potatoes & roots | Baked potato | 85 | 1 medium |
| Potatoes & roots | Sweet potato, boiled | 44 | 1 cup cubed |
| Legumes | Lentils, cooked | 32 | 1 cup |
| Legumes | Chickpeas, cooked | 28 | 1 cup |
| Legumes | Kidney beans, cooked | 24 | 1 cup |
