# Shah Mir Dynasty
> Reign and successions

| Precedence | Name | AD |
| --- | --- | --- |
| 1 | Shamsu'd-Din Shah | 1339 |
| 2 | Jamshed | 1342 |
| 3 | Ala'u'din | 1343 |
| 4 | Shihu'd-Din | 1354 |
| 5 | Qutub'd-Din | 1373 |
| 6 | Sikander | 1389 |
| 7 | Ali Shah | 1413 |
| 8 | Zainu'l'Abadin | 1420 |
| 9 | Hasan Shah | 1472 |
| 10 | Muhammad Shah (i) | 1484 |
| 11 | Fateh Shah (i) | 1486 |
| 12 | Muhammad Shah (ii) | 1493 |
| 13 | Fateh Shah (ii) | 1505 |
| 14 | Muhammad Shah (iii) | 1514 |
| 15 | Fateh Shah (ii1) | 1515 |
| 16 | Muhammad Shah (iv) | 1517 |
| 17 | Ibrahim Shah (i) | 1528 |
| 18 | Nazuk Shah (i) | 1529 |
| 19 | Muhammad Shah (v) | 1530 |
| 20 | Shamsu'd-Din (ii) | 1537 |
| 21 | Ismail Shah (i) | 1540 |
| 17 | Nazuk Shah (ii) (i) | 1540 |
| 18 | Ibrahim Shah (i) | 1552 |
| 19 | Ismail Shah (ii) (v) | 1555 |
| 20 | Habib Shah | 1557–1561 |
