# PIN Code List for Hyderabad Localities (Telangana, India)

| City | Locality / Neighborhood | PIN Code | District | State |
| --- | --- | --- | --- | --- |
| Hyderabad | Abids | 500001 | Hyderabad | Telangana |
| Hyderabad | Nampally | 500001 | Hyderabad | Telangana |
| Hyderabad | Secunderabad | 500003 | Hyderabad | Telangana |
| Hyderabad | Banjara Hills | 500034 | Hyderabad | Telangana |
| Hyderabad | Jubilee Hills | 500033 | Hyderabad | Telangana |
| Hyderabad | Gachibowli | 500032 | Hyderabad | Telangana |
| Hyderabad | Madhapur | 500081 | Hyderabad | Telangana |
| Hyderabad | Kukatpally | 500072 | Hyderabad | Telangana |
| Hyderabad | Ameerpet | 500016 | Hyderabad | Telangana |
| Hyderabad | Dilsukhnagar | 500060 | Hyderabad | Telangana |
