# Singtel TV
> Television channels

| Name | Language | Type / Package |
| --- | --- | --- |
| [V] HD International | English | Lifestyle and music/family |
| Animal Planet (HD) | English | Education/family |
| Australia Plus | English | Lifestyle and music/family |
| Baby TV (HD) | English | Kids/family |
| Boomerang (HD) | English | Kids/family |
| Cartoon Network (HD) | English | Kids/family |
| CCTV-9 Documentary (HD) | English | Education/family |
| Ci HD | English | Education/family |
| Channel M HD | Korean | Lifestyle and music/family |
| Discovery Channel (HD) | English | Education/family |
| Discovery HD World | English | Education/family |
| Discovery Kids | English | Kids/family |
| Discovery Science (HD) | English | Education/family |
| Disney Channel (HD) | English | Kids/family |
| Disney Junior (HD) | English | Kids/family |
| Disney XD (HD) | English | Kids/family |
| DMAX (HD) | English | Lifestyle and music/family |
| Eve (HD) | English | Lifestyle and music/family |
| FashionTV (HD) | English | Lifestyle and music/family |
| FYI HD | English | Education/family |
| History HD | English | Education/family |
| H2 HD | English | Education/family |
| Kids Channel | Mandarin | Jingxuan |
| Life Inspired (HD) | English | Lifestyle and music/family |
| Mezzo Live HD | English | Lifestyle and music/family |
| MTV Asia | English | Lifestyle and music/family |
| National Geographic Channel | English | Education/family |
| National Geographic Channel HD | English | Education/family |
| Nat Geo People HD | English | Education/family |
| Nat Geo Wild HD | English | Family/Jingxuan/Inspiras/Kondattam |
| Nat Geo Music HD | English | Lifestyle and music/family |
| Nick Jr. HD | English | Kids/family |
| Nickelodeon Asia HD | English | Kids/family |
| Toonami (HD) | English | Kids/family |
| Trace Sport Stars (HD) | English | Lifestyle and music/family |
| Travel Channel HD | English | Lifestyle and music/family |
| TruTV (HD) | English | Lifestyle and music/family |
| TLC (HD) | English | Lifestyle and music/family |
| WakuWaku Japan (HD) | Japanese | Family/Jingxuan/Nihon/Inspirasi |
