# Top Irish Surnames in County Clare (1901 Census) — Household Totals

| Rank | Surname (English) | Households | Barony | Notes |
|---:|---|---:|---|---|
| 1 | McNamara | 812 | Bunratty Lower | Common local surname |
| 2 | O'Brien | 645 | Islands | Appears across parishes |
| 3 | Kelly | 601 | Clonderalaw | High concentration |
| 4 | Lynch | 522 | Inchiquin | Also found in Galway |
| 5 | Moloney | 474 | Tulla | Multiple spellings |
| 6 | Casey | 441 | Ibrickan | Coastal distribution |
| 7 | O'Connell | 398 | Corcomroe | Often urban-linked |
| 8 | Mahony | 362 | Burren | Smaller clusters |
| 9 | Quinn | 334 | Tulla | Widespread |
| 10 | Collins | 321 | Moyarta | Strong in west Clare |
| 11 | Healy | 297 | Burren | Declines after 1911 |
| 12 | Daly | 281 | Tulla | Parish-level variation |
