# Texas ZIP Codes by County (Selected Directory)

| County | Primary City | ZIP Code | ZIP Type | Notes |
|---|---|---|---|---|
| Harris County | Houston | 77002 | Standard | Downtown |
| Harris County | Houston | 77005 | Standard | West University Place area |
| Dallas County | Dallas | 75201 | Standard | Central Dallas |
| Dallas County | Irving | 75038 | Standard | Las Colinas |
| Travis County | Austin | 78701 | Standard | Capitol area |
| Bexar County | San Antonio | 78205 | Standard | Central San Antonio |
| El Paso County | El Paso | 79901 | Standard | Downtown |
| Tarrant County | Fort Worth | 76102 | Standard | Sundance Square |
| Williamson County | Round Rock | 78664 | Standard | Round Rock core |
| Collin County | Plano | 75024 | Standard | West Plano |
