# Resident Evil and Other Zombie Titles (Compressed Platform Codes)

| Game | Publisher | Platform(s) |
| --- | --- | --- |
| Resident Evil 7: Biohazard | Capcom | PS4, XONE, WIN |
| Resident Evil 2 (2019) | Capcom | PS4, XONE, WIN |
| Resident Evil 3 (2020) | Capcom | PS4, XONE, WIN |
| Resident Evil Village | Capcom | PS4, PS5, XONE, XSX, WIN |
| Umbrella Corps | Capcom | PS4, WIN |
| Dead Rising 4 | Capcom | XONE, WIN |
| State of Decay 2 | Xbox Game Studios | XONE, WIN |
| The Evil Within | Bethesda | PS4, XONE, WIN |
| The Evil Within 2 | Bethesda | PS4, XONE, WIN |
