# UK Secondary School Subjects by Key Stage and Exam Level (GCSE vs A level)

| Subject | KS3 (Years 7–9) | GCSE (Years 10–11) | A level (Years 12–13) |
| --- | --- | --- | --- |
| English | Core | Core | Optional (English Literature / English Language) |
| Mathematics | Core | Core | Optional (Mathematics / Further Mathematics) |
| Biology | Included within Science | Usually as Separate Science or Combined Science | Optional |
| Chemistry | Included within Science | Usually as Separate Science or Combined Science | Optional |
| Physics | Included within Science | Usually as Separate Science or Combined Science | Optional |
| History | Optional | Optional | Optional |
| Geography | Optional | Optional | Optional |
| Computer Science | Optional | Optional | Optional |
| Art & Design | Optional | Optional | Optional |
| Music | Optional | Optional | Optional |
| Drama | Optional | Optional | Sometimes (subject availability varies) |
| Physical Education (PE) | Core (non-exam) | Usually non-exam; GCSE PE optional | Optional |
| Religious Studies (RS) | Often core (varies by school) | Optional or short course (varies) | Optional |
| Modern Foreign Language (e.g., French/Spanish) | Optional or encouraged | Optional (often encouraged/EBacc) | Optional |
| Design & Technology | Optional | Optional | Rare (often replaced by product design/engineering-related courses) |
