# List of Coronation Street home video releases
> 1990s

| Rank | Conglomerate | Gross Income |
| --- | --- | --- |
| 1 | Adani Exports | 123,428 |
| 2 | Indian Petrochemicals Corporation | 86,050 |
| 3 | Gujarat State Fertilisers and Chemicals | 29,401 |
| 4 | Gujarat Narmada Valley Fertilisers | 25,262 |
| 5 | Nirma | 19,405 |
| 6 | Arvind Mills | 16,145 |
| 7 | Torrent Power AEC | 14,912 |
| 8 | Cadila Healthcare | 14,881 |
| 9 | Torrent Pharmaceuticals | 9,685 |
| 10 | Sintex Industries | 8,832 |
| 11 | Atul | 8,406 |
| 12 | Gujarat Gas | 7,752 |
| 13 | Alembic | 6,514 |
| 14 | Gujarat Mineral Development Corporation | 5,131 |
| 15 | LANXESS ABS | 4,122 |
| Year | Host | Episodes |
| 1961 | William Roache | The First Episode; Blackpool ; Ida's funeral; Harry marries Concepta |
| 1962 | William Roache | Dennis' concert; Christine's breakdown; Ken marries Valerie ; The Walker 's Silver Wedding |
| 1964 | Eileen Derbyshire | Martha 's death; Emily jilts Swindley; The Evacuation; Wrestling |
| 1968 | Eileen Derbyshire | Elsie and Len ; Dennis marries Jenny; Hilda vs Elsie; Val's ordeal |
| 1974 | Betty Driver | Cyril's death; The Importance of Being Earnest ; Majorca ; Eddie's Christmas |
| 1977 | Helen Worth | The Community Centre Dance; Len marries Rita ; Jubilee; The Ogden's second honeymoon |
| 1983 | Johnny Briggs | Ken , Deirdre , Mike ; Car in Lake; Ogden's 40th; Len's Death |
| 1984 | Thelma Barlow | Elsie's departure; Street Olympics; Mavis jilts Derek ; Stan's funeral |
| 1986 | Sally Dynevor | Peter and Susan Barlow 's 21st; The Rover's Fire; The New Rovers; Kevin marries Sally |
| 1989 | Barbara Knox | Factory demolition; Alan 's trial; The Tram; Christmas Eve |
