# Indian Forest Service
> Equivalent ranks

| S No | Indian Police Service | Indian Forest Service | Indian Administrative Service | Pay scale |
| --- | --- | --- | --- | --- |
| 1 | Deputy Superintendent of Police | Assistant Conservator of Forests | Sub Divisional Magistrate (States) | 15,600-39,100 plus grade pay of 5400 |
| 2 | Additional Superintendent of Police | Divisional Forest Officer/ Deputy Conservator of Forests | Under/Deputy Secretary to Government of India/Deputy Commissioner/ Collector / District Magistrate (states) | 15,600-39,100 plus grade pay of 6600 |
| 3 | Superintendent of Police | Divisional Forest Officer/ Deputy Conservator of Forests (India) | Deputy Secretary to Government of India /Deputy Commissioner/ Collector / District Magistrate (states) | 15,600-39,100 plus grade pay of 7600 |
| 4 | Senior Superintendent of Police | Deputy Conservator of Forests (India)/Director of Forestry(Selection Grade) | Director to Government of India/Deputy Commissioner/ Collector / District Magistrate (states)(Selection Grade) | 37,400-67,000 plus grade pay of 8700 |
| 5 | Deputy Inspector General of Police | Conservator of Forests | Divisional Commissioner in a Division in states | 37,400-67,000 plus grade pay of 8900 |
| 6 | Inspector General of Police | Chief Conservator of Forests | Joint Secretary to Government of India /Secretary to State Govt. | 37,400-67,000 plus grade pay of 10,000 |
| 7 | Additional Director General of Police | Additional Principal Chief Conservator of Forests | Additional Secretary to Government of India/ Principal Secretary to State Govt. | HAG scale of 67,000-79,000 |
| 8 | Director General of Police /Director of Intelligence Bureau | Principal Chief Conservator of Forests | Additional Secretary to Government of India/Additional Chief Secretary to State Govt. | HAG + scale of 75,500–80,000 |
| 9 | No equivalent | Principal Chief Conservator of Forests, Head of Forest Forces (HoFF), Director General of Forests | Secretary to Government of India/ Chief Secretary of State | 80,000 (fixed) |
| 10 | No equivalent | No equivalent | Cabinet Secretary | 90,000 (fixed) |
