# Zombie Games by Platform Availability (Console, Handheld, and PC) — Game-Level Entries

| Game title | Release year | Supported platform(s) | Sub-genre / format |
| --- | --- | --- | --- |
| Left 4 Dead | 2008 | Xbox 360, Windows | Co-op FPS |
| Left 4 Dead 2 | 2009 | Xbox 360, Windows, macOS, Linux | Co-op FPS |
| Plants vs. Zombies | 2009 | Windows, macOS, iOS, Android, PlayStation 3, Xbox 360, Nintendo DS | Tower defense |
| Telltale's The Walking Dead (Season One) | 2012 | PlayStation 3, Xbox 360, Windows, macOS, iOS, Android, PlayStation Vita | Episodic adventure |
| The Walking Dead: Survival Instinct | 2013 | PlayStation 3, Xbox 360, Windows, Wii U | FPS |
| Dead Nation | 2010 | PlayStation 3, PlayStation Vita | Twin-stick shooter |
| Zombie Army Trilogy | 2015 | PlayStation 4, Xbox One, Windows | Third-person shooter |
| Zombie Army 4: Dead War | 2020 | PlayStation 4, Xbox One, Windows, Nintendo Switch | Third-person shooter |
| Days Gone | 2019 | PlayStation 4, Windows | Open-world action |
| Resident Evil Village | 2021 | PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S, Windows | Survival horror (includes infected/undead-like enemies) |
