# Transition-Metal Complexes  Example Formulas and Metal Oxidation States

| Complex Name | Formula | Central Metal | Metal Oxidation State | Ligands | Geometry | Comment |
| --- | --- | --- | --- | --- | --- | --- |
| Hexaamminecobalt(III) chloride | [Co(NH3)6]Cl3 | Co | +3 | NH3 | octahedral | classic coordination compound |
| Potassium hexacyanoferrate(II) | K4[Fe(CN)6] | Fe | +2 | CN- | octahedral | coordination salt |
| Potassium hexacyanoferrate(III) | K3[Fe(CN)6] | Fe | +3 | CN- | octahedral | redox pair with Fe(II) |
| Tetraamminecopper(II) sulfate | [Cu(NH3)4]SO4 | Cu | +2 | NH3 | square planar | deep blue solution |
| Chloropentaamminecobalt(III) chloride | [Co(NH3)5Cl]Cl2 | Co | +3 | NH3, Cl- | octahedral | ligand substitution example |
| Cisplatin | Pt(NH3)2Cl2 | Pt | +2 | NH3, Cl- | square planar | anticancer drug |
| Potassium tetrachloroplatinate(II) | K2[PtCl4] | Pt | +2 | Cl- | square planar | precursor to Pt drugs |
| Nickel tetracarbonyl | Ni(CO)4 | Ni | 0 | CO | tetrahedral | volatile, toxic |
| Sodium nitroprusside | Na2[Fe(CN)5NO] | Fe | +2 | CN-, NO | octahedral | vasodilator |
| Tris(acetylacetonato)chromium(III) | Cr(acac)3 | Cr | +3 | acac- | octahedral | chelate complex |
