# Prescription Formulation & Release Mechanism Abbreviations

| Category | Abbreviation | Meaning |
| --- | --- | --- |
| Release mechanism | IR | immediate release |
| Release mechanism | SR | sustained release |
| Release mechanism | ER | extended release |
| Release mechanism | XR | extended release |
| Release mechanism | XL | extended release |
| Release mechanism | CR | controlled release |
| Release mechanism | DR | delayed release |
| Release mechanism | LA | long-acting |
| Dosage form | tab | tablet |
| Dosage form | cap | capsule |
| Dosage form | soln | solution |
| Dosage form | susp | suspension |
| Dosage form | syr | syrup |
| Dosage form | inj | injection |
| Dosage form | SL | sublingual (dosage form/route on prescription) |
| Dosage form | supp | suppository |
