# Glycemic Index (GI) List of Staple Foods (No GL Provided)

| Food | Preparation | GI (glucose=100) | Notes |
|---|---|---:|---|
| White rice | boiled | 73 | average value |
| Brown rice | boiled | 68 | varies by variety |
| Pasta | al dente | 49 | cooking time affects GI |
| Instant oatmeal | cooked | 79 | more processed |
| Lentils | boiled | 32 | low GI legume |
| Chickpeas | boiled | 28 | low GI legume |
| Sweet potato | baked | 70 | can be high |
| Watermelon | raw | 76 | high GI but low carbs/serving |
| Apple | raw | 39 | low GI fruit |
| Corn tortilla | cooked | 52 | moderate GI |
