# Prostatitis Antibiotic Regimens  Duration and Route Comparison (Dose Intentionally Omitted)

| Antibiotic | Route | Typical duration for suspected bacterial prostatitis | Step-down strategy | When considered | Comments |
| --- | --- | --- | --- | --- | --- |
| Ciprofloxacin | Oral | 2–6 weeks | Oral-only in stable patients | Outpatient therapy | Resistance concerns in some areas |
| Levofloxacin | Oral | 2–6 weeks | Oral-only in stable patients | Outpatient therapy | Convenient long-interval administration |
| Trimethoprim-sulfamethoxazole | Oral | 4–6 weeks | Oral-only | Alternative option | Susceptibility dependent |
| Doxycycline | Oral | 2–4 weeks | Oral-only | If STI pathogens suspected | Often paired with STI workup |
| Azithromycin | Oral | Short course (varies) | Oral-only | Selected atypical/STI contexts | Not first-line for typical gram-negatives |
| Ceftriaxone | IV/IM | Initial 1–3 days | Switch to oral agent | Hospitalized/severe cases | Often used as empiric bridge |
| Gentamicin | IV | Initial 1–3 days | Switch to oral agent | Severe/systemic illness | Requires renal monitoring |
| Fosfomycin | Oral | Multi-dose regimen (varies) | Oral-only | Refractory/MDR contexts | Evidence base still evolving |
| Ertapenem | IV | 1–2 weeks then step-down | Switch to oral if possible | ESBL concerns | Outpatient parenteral therapy possible |
