# List of terrorist incidents in 2000
> March

| Date | Dead | Injured | Location and description |
| --- | --- | --- | --- |
| March 4 | 1 | 17 | Basilan : A restaurant was bombed in the Basilan capital town of Isabela. One person was killed and seventeen were wounded. On March 4, Philippine News Agency reported that the man suspected of masterminding this attack, a member of Abu Sayyaf, had been apprehended. [25] |
| March 5 | 0 | 0 | Khalandri : The Revolutionary Cells claimed responsibility for a time bomb that went off at the AKTOR construction company firm's office in Khalandri. The blast caused damage to the entrance of the company and to surrounding cars. [26] |
| March 6 | 0 | 8 | San Sebastian : A remote-controlled device exploded near a Civil Guard barracks in San Sebastian, injuring eight people (two Civil Guards and six civilians). The attack is the third since the Basque Fatherland and Freedom (ETA) ended their cease-fire and used the same methods as the previous two attacks. The device was placed in a car. A spokesman for ETA's political wing called this attack, "a political and human tragedy." [27] |
| March 6 | 6 | 9 | Erez Crossing : bombing [28] |
| March 7 | 0 | 7 | Spain : Car bomb attack attributed to ETA injures 7. [29] |
| March 10 | 22 | 47 | Ayurveda Twenty-two people were killed including three terrorists when a group of terrorists threw bombs and hand grenades, and opened fire on a busy Ayurveda roundabout. Six policemen were also killed in the attack. [30] |
| March 12 | 1 | 13 | Chlef : Two bomb attacks on a weekly market near Chlef killed one and injured thirteen others. [31] |
| March 16 | 0 | 5 | Sadra Bazaar : At least five persons were injured in a bomb blast in Sadra Bazaar. [32] |
| March 20 | 0 | 3 | Hebron, West Bank : In a shooting attack near Hebron, three Israeli civilians were wounded when the taxi they were in was fired on near the Idnah checkpoint. [33] |
| March 21 | 0 | 4 | Churchgate rail station : Four commuters were injured when an explosive device detonated inside of a train during peak rush hour. The blast occurred shortly before the train arrived at the Churchgate rail station on the Western Railway. [34] |
| March 26 | 0 | 15 | Istanbul : Fifteen people were injured when unknown assailants opened fire at a sports facility in Istanbul. The assailants managed to escape after the attack. [35] |
| March 26 | 0 | 2 | Dagestan : Car bomb injures vice premier of Dagestan Republic and driver. [35] |
| March 30 | 4 | 19 | Cachipay : A car bomb parked in front of the mayor's office in Cachipay (Cundinamarca Department) detonated, causing injuries to nineteen and deaths to four. Roberto Hinestroza, the Governor of Cundinamarca, attributes the attack to the 42nd Front of the Revolutionary Armed Forces of Colombia (FARC). Note: It is believed that FARC is carrying out threats to attack Cundinamarca municipalities for the mayor's refusal to make extortion payments. [36] |
