# Dietary Amino Acid Targets per 70 kg Adult (Food Planning Table)

| Amino acid | 3-letter | Suggested intake (mg/day) | Common food sources | Rationale |
|---|---|---:|---|---|
| Leucine | Leu | 2730 | Meat, dairy, soy | Muscle protein synthesis |
| Isoleucine | Ile | 1400 | Eggs, legumes | Branched-chain AA |
| Valine | Val | 1820 | Dairy, peanuts | Branched-chain AA |
| Lysine | Lys | 2100 | Fish, beans | Limiting AA in grains |
| Methionine | Met | 1050 | Eggs, sesame | Sulfur AA |
| Threonine | Thr | 1050 | Cottage cheese | Mucin synthesis |
| Phenylalanine | Phe | 1750 | Meat, seeds | Aromatic AA |
| Tryptophan | Trp | 280 | Turkey, oats | Serotonin precursor |
| Histidine | His | 700 | Meat, whole grains | Growth/repair |
| Arginine | Arg | 1500 | Nuts, pork | Nitric oxide precursor |
