# Population by Province of Canada (Smallest to Largest)

| Rank (ascending) | Province / Territory | Population |
| --- | --- | --- |
| 1 | Nunavut | 39,353 |
| 2 | Yukon | 42,986 |
| 3 | Northwest Territories | 45,605 |
| 4 | Prince Edward Island | 164,318 |
| 5 | Newfoundland and Labrador | 522,103 |
| 6 | New Brunswick | 775,610 |
| 7 | Nova Scotia | 969,383 |
| 8 | Saskatchewan | 1,132,505 |
| 9 | Manitoba | 1,376,480 |
| 10 | Alberta | 4,371,316 |
| 11 | British Columbia | 5,214,805 |
| 12 | Ontario | 15,608,369 |
