# English Premier League (2016–17 season) — Clubs available in Career Mode

| Club | City / Area | Home Stadium | Region |
| --- | --- | --- | --- |
| Arsenal | London | Emirates Stadium | England |
| Chelsea | London | Stamford Bridge | England |
| Liverpool | Liverpool | Anfield | England |
| Manchester City | Manchester | Etihad Stadium | England |
| Manchester United | Manchester | Old Trafford | England |
| Tottenham Hotspur | London | White Hart Lane | England |
| Everton | Liverpool | Goodison Park | England |
| Leicester City | Leicester | King Power Stadium | England |
| Southampton | Southampton | St Mary's Stadium | England |
| West Ham United | London | London Stadium | England |
