# Super Smash Bros. Ultimate — Fighter Unlock Requirements (Matches, Modes, Time)

| Fighter | Unlock method | Matches required | Mode | Notes |
|---|---|---:|---|---|
| Ness | VS mode rotation | 6 | VS | Appears after a wait period if lost |
| Captain Falcon | Classic route | 3 | Classic | Defeat challenger battle |
| Jigglypuff | Adventure progression | 2 | World of Light | Located in early map region |
| Falco | VS mode rotation | 12 | VS | Faster if restarting software |
| Ganondorf | Classic route | 5 | Classic | Challenger fight has high KO power |
| Luigi | VS mode rotation | 22 | VS | Unlock chain influenced by prior wins |
| Dr. Mario | Classic route | 7 | Classic | Requires completing a specific classic path |
| Mewtwo | VS mode rotation | 28 | VS | Longer wait time between unlocks |
| Meta Knight | World of Light | 0 | World of Light | Found behind a spirit gate |
| Cloud | Challenger’s Approach | 15 | VS | Triggered after completing other unlocks |
