# Mickey Mouse Clubhouse — Voice Performers and the Roles They Play

| Voice performer | Roles voiced in the series | Character category | Role description (who they are) |
|---|---|---|---|
| Wayne Allwine | Mickey Mouse | Main | The primary clubhouse host and leader of the group |
| Russi Taylor | Minnie Mouse | Main | Mickey’s companion; often leads with Mickey on activities |
| Tony Anselmo | Donald Duck | Main | One of Mickey’s closest friends; comedic and energetic |
| Tress MacNeille | Daisy Duck | Main | Minnie’s friend and Donald’s girlfriend; frequent teammate |
| Bill Farmer | Goofy; Pluto (vocal effects) | Main | Goofy is a core friend; Pluto is Mickey’s dog with nonverbal sounds |
| Jim Cummings | Pete | Recurring | A recurring foil/neighbor who sometimes opposes the group |
| Corey Burton | Ludwig Von Drake | Recurring | The professor character who explains concepts and gadgets |
| Rob Paulsen | Toodles (speaking voice) | Recurring | The tool-delivery helper who supports missions |
| April Winchell | Clarabelle Cow | Recurring | A neighbor/friend appearing in multiple episodes |
| Nika Futterman | Doodles | Recurring | Toodles’ companion character appearing in later episodes |
