# 2006 NBA draft
> Draft selections

| Round | Pick | Player | Position | Nationality [n 1] | Team | School/club team |
| --- | --- | --- | --- | --- | --- | --- |
| 1 | 1 | Bargnani, Andrea Andrea Bargnani | F | Italy | Toronto Raptors | Benetton Treviso ( Italy ) |
| 1 | 2 | Aldridge, LaMarcus LaMarcus Aldridge * | F | United States | Chicago Bulls (from New York , traded to Portland ) [o] [a] | Texas ( So. ) |
| 1 | 3 | Morrison, Adam Adam Morrison | F | United States | Charlotte Bobcats | Gonzaga ( Jr. ) |
| 1 | 4 | Thomas, Tyrus Tyrus Thomas | F | United States | Portland Trail Blazers (traded to Chicago ) [a] | LSU ( Fr. ) |
| 1 | 5 | Williams, Shelden Shelden Williams | F | United States | Atlanta Hawks | Duke ( Sr. ) |
| 1 | 6 | Roy, Brandon Brandon Roy * | G | United States | Minnesota Timberwolves (traded to Portland ) [b] | Washington ( Sr. ) |
| 1 | 7 | Foye, Randy Randy Foye | G | United States | Boston Celtics (traded to Minnesota via Portland ) [b] | Villanova ( Sr. ) |
| 1 | 8 | Gay, Rudy Rudy Gay | F | United States | Houston Rockets (traded to Memphis ) [c] | Connecticut ( So. ) |
| 1 | 9 | O'Bryant, Patrick Patrick O'Bryant | C | United States | Golden State Warriors | Bradley ( So. ) |
| 1 | 10 | Sene, Mouhamed Mouhamed Sene | C | Senegal | Seattle SuperSonics | Verviers-Pepinster ( Belgium ) |
| 1 | 11 | Redick, J. J. J. J. Redick | G | United States | Orlando Magic | Duke ( Sr. ) |
| 1 | 12 | Armstrong, Hilton Hilton Armstrong | C | United States | New Orleans/Oklahoma City Hornets | Connecticut ( Sr. ) |
| 1 | 13 | Sefolosha, Thabo Thabo Sefolosha | G | Switzerland South Africa | Philadelphia 76ers (traded to Chicago ) [d] | Angelico Biella ( Italy ) |
| 1 | 14 | Brewer, Ronnie Ronnie Brewer | G | United States | Utah Jazz | Arkansas ( Jr. ) |
| 1 | 15 | Simmons, Cedric Cedric Simmons | F | United States | New Orleans/Oklahoma City Hornets (from Milwaukee ) [p] | NC State ( So. ) |
| 1 | 16 | Carney, Rodney Rodney Carney | F | United States | Chicago Bulls (traded to Philadelphia ) [d] | Memphis ( Sr. ) |
| 1 | 17 | Williams, Shawne Shawne Williams | F | United States | Indiana Pacers | Memphis ( Fr. ) |
| 1 | 18 | Pecherov, Oleksiy Oleksiy Pecherov | C | Ukraine | Washington Wizards | BC Kyiv ( Ukraine ) |
| 1 | 19 | Douby, Quincy Quincy Douby | G | United States | Sacramento Kings | Rutgers ( Jr. ) |
| 1 | 20 | Balkman, Renaldo Renaldo Balkman | F | Puerto Rico | New York Knicks (from Denver via New Jersey and Toronto ) [q] | South Carolina ( Jr. ) |
| 1 | 21 | Rondo, Rajon Rajon Rondo * | G | United States | Phoenix Suns (from L.A. Lakers via Boston and Atlanta , traded to Boston ) [r] [e] | Kentucky ( So. ) |
| 1 | 22 | Williams, Marcus Marcus Williams | G | United States | New Jersey Nets (from L.A. Clippers via Orlando and Denver ) [s] | Connecticut ( Jr. ) |
| 1 | 23 | Boone, Josh Josh Boone | F | United States | New Jersey Nets | Connecticut ( Jr. ) |
| 1 | 24 | Lowry, Kyle Kyle Lowry * | G | United States | Memphis Grizzlies | Villanova ( So. ) |
| 1 | 25 | Brown, Shannon Shannon Brown | G | United States | Cleveland Cavaliers | Michigan State ( Jr. ) |
| 1 | 26 | Farmar, Jordan Jordan Farmar | G | United States | Los Angeles Lakers (from Miami ) [t] | UCLA ( So. ) |
| 1 | 27 | Rodríguez, Sergio Sergio Rodríguez | G | Spain | Phoenix Suns (traded to Portland ) [f] | Adecco Estudiantes ( Spain ) |
| 1 | 28 | Ager, Maurice Maurice Ager | G | United States | Dallas Mavericks | Michigan State ( Sr. ) |
| 1 | 29 | Collins, Mardy Mardy Collins | G | United States | New York Knicks (from San Antonio ) [u] | Temple ( Sr. ) |
| 1 | 30 | Freeland, Joel Joel Freeland | F | United Kingdom | Portland Trail Blazers (from Detroit via Utah ) [v] | Gran Canaria ( Spain ) |
| 2 | 31 | White, James James White | G | United States | Portland Trail Blazers (traded to Indiana ) [g] | Cincinnati ( Sr. ) |
| 2 | 32 | Novak, Steve Steve Novak | F | United States | Houston Rockets (from New York ) [w] | Marquette ( Sr. ) |
| 2 | 33 | Jones, Solomon Solomon Jones | F | United States | Atlanta Hawks | South Florida ( Sr. ) |
| 2 | 34 | Davis, Paul Paul Davis | C | United States | Los Angeles Clippers (from Charlotte ) [x] | Michigan State ( Sr. ) |
| 2 | 35 | Tucker, P.J. P.J. Tucker | F | United States | Toronto Raptors | Texas ( Jr. ) |
| 2 | 36 | Smith, Craig Craig Smith | F | United States | Minnesota Timberwolves (from Boston ) [y] | Boston College ( Sr. ) |
| 2 | 37 | Jones, Bobby Bobby Jones | F | United States | Minnesota Timberwolves (traded to Philadelphia ) [h] | Washington ( Sr. ) |
| 2 | 38 | Perović, Kosta Kosta Perović | C | Serbia | Golden State Warriors | Partizan Belgrade ( Serbia ) |
| 2 | 39 | Noel, David David Noel | F | United States | Milwaukee Bucks (from Houston ) [z] | North Carolina ( Sr. ) |
| 2 | 40 | Brown, Denham Denham Brown # | G | Canada | Seattle SuperSonics | Connecticut ( Sr. ) |
| 2 | 41 | Augustine, James James Augustine | F | United States | Orlando Magic | Illinois ( Sr. ) |
| 2 | 42 | Gibson, Daniel Daniel Gibson | G | United States | Cleveland Cavaliers (from Philadelphia ) [aa] | Texas ( So. ) |
| 2 | 43 | Vinicius, Marcus Marcus Vinicius | F | Brazil | New Orleans/Oklahoma City Hornets | Objetivo São Carlos ( Brazil ) |
| 2 | 44 | Eliyahu, Lior Lior Eliyahu # | F | Israel | Orlando Magic (from Milwaukee via Cleveland , traded to Houston ) [ab] [i] | Hapoel Galil Elyon ( Israel ) |
| 2 | 45 | Johnson, Alexander Alexander Johnson | F | United States | Indiana Pacers (traded to Memphis via Portland ) [g] | Florida State ( Jr. ) |
| 2 | 46 | Brown, Dee Dee Brown | G | United States | Utah Jazz (from Chicago via Houston ) [ac] | Illinois ( Sr. ) |
| 2 | 47 | Millsap, Paul Paul Millsap + | F | United States | Utah Jazz | Louisiana Tech ( Jr. ) |
| 2 | 48 | Veremeenko, Vladimir Vladimir Veremeenko # | F | Belarus | Washington Wizards | Dynamo St. Petersburg ( Russia ) |
| 2 | 49 | Powe, Leon Leon Powe | F | United States | Denver Nuggets (traded to Boston ) [j] | California ( Jr. ) |
| 2 | 50 | Hollins, Ryan Ryan Hollins | C | United States | Charlotte Bobcats (from Sacramento ) [ad] | UCLA ( Sr. ) |
| 2 | 51 | Samb, Cheikh Cheikh Samb | C | Senegal | Los Angeles Lakers (traded to Detroit ) [k] | WTC Cornellà ( Spain ) |
| 2 | 52 | Diaz, Guillermo Guillermo Diaz | G | Puerto Rico | Los Angeles Clippers | Miami (FL) ( Jr. ) |
| 2 | 53 | Halperin, Yotam Yotam Halperin # | G | Israel | Seattle SuperSonics (from Memphis ) [ae] | Union Olimpija ( Slovenia ) |
| 2 | 54 | Adams, Hassan Hassan Adams | G | United States | New Jersey Nets | Arizona ( Sr. ) |
| 2 | 55 | Ugboaja, Ejike Ejike Ugboaja # | F | Nigeria | Cleveland Cavaliers | Union Bank Lagos ( Nigeria ) |
| 2 | 56 | Bavčić, Edin Edin Bavčić # | F | Bosnia and Herzegovina | Toronto Raptors (from Miami via Boston and New Orleans/Oklahoma City , traded to Philadelphia ) [af] [l] | ASA BH Telecom ( Bosnia and Herzegovina ) |
| 2 | 57 | Mavrokefalidis, Loukas Loukas Mavrokefalidis # | C | Greece | Minnesota Timberwolves (from Phoenix ) [ag] | PAOK ( Greece ) |
| 2 | 58 | Pinnock, J. R. J. R. Pinnock # | G | United States | Dallas Mavericks (traded to L.A. Lakers ) [m] | George Washington ( Jr. ) |
| 2 | 59 | Markota, Damir Damir Markota | F | Croatia | San Antonio Spurs (traded to Milwaukee ) [n] | Cibona Zagreb ( Croatia ) |
| 2 | 60 | Blalock, Will Will Blalock | G | United States | Detroit Pistons | Iowa State ( Jr. ) |
