# Deer-Resistant Landscape Plants (Rating  A   Most Resistant) — Perennials, Shrubs, and Groundcovers Only

| Common Name | Latin Name | Landscape Use / Type | Deer-Resistance Rating |
|---|---|---|---|
| Hellebore (Lenten Rose) | Helleborus × hybridus | Perennial (shade) | A |
| Foxglove | Digitalis purpurea | Biennial / Perennial | A |
| Daffodil | Narcissus spp. | Bulb | A |
| Ornamental Onion | Allium spp. | Bulb / Perennial | A |
| Sweet Box | Sarcococca confusa | Evergreen shrub | A |
| Japanese Pieris | Pieris japonica | Evergreen shrub | A |
| Lamb’s Ear | Stachys byzantina | Perennial groundcover | A |
| Artemisia (Wormwood) | Artemisia spp. | Perennial (foliage) | A |
| Spurge | Euphorbia characias | Perennial | A |
