# Autonomic Control of Organs  Division-Specific Effects and Mediators

| Organ system | Sympathetic effect | Parasympathetic effect | Primary mediator (sympathetic) | Primary mediator (parasympathetic) |
|---|---|---|---|---|
| Eye (pupil) | Mydriasis | Miosis | Norepinephrine (α1) | Acetylcholine (M3) |
| Heart | ↑HR, ↑contractility | ↓HR | Norepinephrine/Epinephrine (β1) | Acetylcholine (M2) |
| Lungs | Bronchodilation | Bronchoconstriction | Epinephrine (β2) | Acetylcholine (M3) |
| GI tract | ↓motility, ↑sphincter tone | ↑motility, ↓sphincter tone | Norepinephrine (α/β) | Acetylcholine (M3) |
| Bladder | Relax detrusor, contract sphincter | Contract detrusor, relax sphincter | Norepinephrine (β3/α1) | Acetylcholine (M3) |
| Blood vessels | Vasoconstriction (most) | Minimal direct effect | Norepinephrine (α1) | — |
| Sweat glands | Sweating | — | Acetylcholine (muscarinic) | — |
| Salivary glands | Viscous secretion | Watery secretion | Norepinephrine | Acetylcholine |
| Liver | Glycogenolysis | Minimal direct effect | Epinephrine | — |
