# U.S. State Fuel Tax Programs and Fees (Registration, Environmental, and Sales-Tax Elements)

| State | Main fuel excise structure | Gasoline sales tax applied? | Diesel sales tax applied? | Environmental fee (annual or per transaction) | Registration/road-use fee | Per-gallon amounts shown? |
|---|---|---|---|---|---|---|
| California | Excise + cap-and-trade cost pass-through | Yes | Yes | Low Carbon Fuel Standard credits | EV registration fee | Partial (not comparable) |
| Oregon | Excise + weight-mile (for some fleets) | No | No | DEQ program fees | Road-use assessment | No |
| Virginia | Variable component tied to average wholesale price | Yes (limited) | Yes (limited) | Underground storage tank fee | Highway use fee | Sometimes |
| Pennsylvania | Oil company franchise tax + excise (policy framework) | No | No | Storage tank fund | Registration fee | Mixed |
| New York | Excise + petroleum business tax (PBT) | Yes | Yes | Spill fund fee | Metropolitan commuter surcharge | Mixed |
| Illinois | Excise + sales tax interaction | Yes | Yes | UST fee | Transportation renewal fee | Mixed |
| Washington | Excise + climate program charges | No | No | Climate commitment program costs | RUC pilot fees | Partial |
| Colorado | Excise + fees for transportation packages | No | No | Air quality fee | Bridge & tunnel fee | Partial |
| Minnesota | Excise + special fuel surcharge programs | No | No | Tank cleanup fee | Registration surcharge | Partial |
| Florida | Excise + county option taxes (program-level) | No | No | Inspection fees | Local option framework | Mixed |
