# Western Zodiac Reference  Sign Date Ranges, Symbols, Elements, and Ruling Planets

| Zodiac Sign | Date Range | Symbol | Element | Modality | Ruling Planet |
| --- | --- | --- | --- | --- | --- |
| Aries | Mar 21 – Apr 19 | Ram | Fire | Cardinal | Mars |
| Taurus | Apr 20 – May 20 | Bull | Earth | Fixed | Venus |
| Gemini | May 21 – Jun 20 | Twins | Air | Mutable | Mercury |
| Cancer | Jun 21 – Jul 22 | Crab | Water | Cardinal | Moon |
| Leo | Jul 23 – Aug 22 | Lion | Fire | Fixed | Sun |
| Virgo | Aug 23 – Sep 22 | Maiden | Earth | Mutable | Mercury |
| Libra | Sep 23 – Oct 22 | Scales | Air | Cardinal | Venus |
| Scorpio | Oct 23 – Nov 21 | Scorpion | Water | Fixed | Mars/Pluto |
| Sagittarius | Nov 22 – Dec 21 | Archer | Fire | Mutable | Jupiter |
| Capricorn | Dec 22 – Jan 19 | Goat | Earth | Cardinal | Saturn |
| Aquarius | Jan 20 – Feb 18 | Water Bearer | Air | Fixed | Saturn/Uranus |
| Pisces | Feb 19 – Mar 20 | Fish | Water | Mutable | Jupiter/Neptune |
