# Super Smash Bros. Series Fighters Roster (Across Multiple Games)

| Fighter | First Playable Appearance | Universe | Notes |
| --- | --- | --- | --- |
| Mewtwo | Melee | Pokémon | Unlockable in Melee |
| Meta Knight | Brawl | Kirby | Not a Melee fighter |
| Snake | Brawl | Metal Gear | Not in Melee |
| Wolf | Brawl | Star Fox | Not in Melee |
| Mii Brawler | Smash 4 | Super Smash Bros. | Not in Melee |
| Inkling | Ultimate | Splatoon | Not in Melee |
| Dr. Mario | Melee | Mario | Unlockable in Melee |
| Roy | Melee | Fire Emblem | Unlockable in Melee |
| Sephiroth | Ultimate | Final Fantasy | Not in Melee |
