# Feliciano Centurión
> Career

| Year | Important Expositions |
| --- | --- |
| 1985 | El puerto (The Harbor). Exposition Room of Aerolíneas Argentinas. Formosa province. Argentina. |
| 1986 | Grupo Sapucai ( Sapucai Group ). The Cárcova Plastic Arts National Fund . Cultural Center. Buenos Aires. Argentina. |
| 1988 | Paraguayan Museum of Contemporary Art . Asuncion. Paraguay. MARGS. Art Museum of Rio Grande do Sul . Porto Alegre . Brazil . |
| 1990 | Gráficos-Seri-Gráficos (Graphics-Seri-Graphics). Little Gallery. Asuncion. Paraguay. Recoleta Cultural Center . Buenos Aires. Argentina. The Martel Painting Awards. Visual Arts Center. Asuncion. Paraguay. |
| 1991 | Cinco Artistas Paraguayos (Five Paraguayan Artists). Centoira Gallery . Buenos Aires. Argentina. |
| 1992 | Voces emergentes (Emergent Voices). Criticism Workdays. Buenos Aires. Argentina. New World Foundation. National Museum of Fine Arts. Buenos Aires. Argentina. Martel Second Biennial of Painting . Visual Arts Center. Asuncion. Paraguay. |
| 1993 | Patricios Bank Foundation . Buenos Aires. Archipiélagos (Archipelagoes). Contemporary Arts Museum. Porto Alegre . Brazil. The Younger Artists of Ruth Benzacar. Ruth Benzacar Gallery . Buenos Aires. Argentina. |
| 1994 | Tres Artistas Paraguayos (Three Paraguayan Artists). Latin Gallery. Montevideo . Uruguay . |
| 1995 | Exposition from the Institute of Iberian-American Cooperation . Buenos Aires. Argentina. |
| 1996 | The Plastic Arts in Formosa. Homage to Feliciano Centurión. Crisólogo Larralde Foundation . Formosa province. Argentina. Frío/Caliente (Cold/Hot). Borges Cultural Center . Buenos Aires. Argentina. |
| 1997 | Objetos - 8 artistas del Mercosur (Objects - 8 artists from the Mercosur). Itinerant show by every country of the Mercosur. Exposition Room of the OEA. Buenos Aires. Argentina. |
