# Boston, MA Area Registered Nurse Pay by Employer (Selected Listings)

| Employer | Role | Pay Type | Pay Amount | Location (Explicit) |
| --- | --- | --- | --- | --- |
| Beth Israel Deaconess Medical Center | Registered Nurse (RN) | Hourly | $45.10/hr | Boston, MA |
| Tufts Medical Center | Registered Nurse (RN) | Annual | $96,800/yr | Boston, MA |
| Dana-Farber Cancer Institute | Registered Nurse (RN), Ambulatory | Hourly | $44.25/hr | Boston, MA |
| Massachusetts General Hospital | Registered Nurse (RN) | Hourly | $35.60/hr | Boston, MA |
| Boston Medical Center | Registered Nurse (RN) | Annual | $90,500/yr | Boston, MA |
| Brigham and Women's Hospital | Registered Nurse (RN) | Hourly | $47.90/hr | Boston, MA |
| Boston Children's Hospital | Registered Nurse (RN) | Hourly | $37.25/hr | Boston, MA |
| New England Baptist Hospital | Registered Nurse (RN) | Annual | $92,300/yr | Boston, MA |
| Spaulding Rehabilitation Hospital | Registered Nurse (RN) | Hourly | $28.40/hr | Boston, MA |
| VA Boston Healthcare System | Registered Nurse (RN) | Annual | $88,700/yr | Boston, MA |
