# IUPAC Priority Order  Non‑Oxygen Functional Groups Only (Selected Examples)

| Priority (illustrative) | Functional group | Formula pattern | Naming prefix | Naming suffix | Example |
| --- | --- | --- | --- | --- | --- |
| 1 | Quaternary ammonium (cation) | R4N+ | ammonio- | -ammonium | Tetramethylammonium |
| 2 | Sulfonium (cation) | R3S+ | sulfonio- | -sulfonium | Trimethylsulfonium |
| 3 | Phosphonium (cation) | R4P+ | phosphonio- | -phosphonium | Tetraphenylphosphonium |
| 4 | Nitrile | –C≡N | cyano- | -nitrile | Acetonitrile |
| 5 | Isocyanide | –N≡C | isocyano- | -isocyanide | tert-Butyl isocyanide |
| 6 | Nitro | –NO2 | nitro- | (none) | Nitrobenzene |
| 7 | Azide | –N3 | azido- | (none) | 1-Azidopropane |
| 8 | Thiol | –SH | mercapto- / sulfanyl- | -thiol | Ethanethiol |
| 9 | Thioamide | –C(=S)NH2 | thiocarbamoyl- | -thioamide | Thioacetamide |
