# List of Coronation Street home video releases
> Network releases

| Year | Released | Episodes |
| --- | --- | --- |
| 1960 | 31 July 2006 | Florrie Lindley moves in to the corner shop, and Ena Sharples warns her about Elsie Tanner . Ena faints. May Hardman dies of a brain tumour . |
| 1961 | 31 July 2006 | Albert Tatlock 's niece Valerie moves in with him and she starts dating Ken Barlow . Joan Walker gets married, as do Concepta Regan and Harry Hewitt . Ida Barlow is killed after being hit by a bus. Elsie Tanner accuses Ena Sharples of writing a nasty letter to her. |
| 1962 | 31 July 2006 | Ken proposes to Valerie Tatlock she says yes and they get married later that year. Christine Hardman has a mental breakdown . Lucille Hewitt starts tormenting her stepmother, Concepta . |
| 1963 | 31 July 2006 | Sheila Birtles ' attempted suicide and Jerry Booth and Myra Dickenson 's marriage. |
| 1964 | 31 July 2006 | Florrie Lindley 's shop rage and Stan Ogden 's wrestling antics |
| 1965 | 31 July 2006 | The destruction of one of the houses on 'The Street' plus the birth of Ken and Valerie 's twins. |
| 1966 | 31 July 2006 | Ena Sharples ' encounter with louts and her alleged shoplifting. Bet Lynch arrives. |
| 1967 | 31 July 2006 | The infamous train crash involving some of your favourite characters including Ena Sharples , Elsie and Steve Tanner marry and Harry Hewitt is killed. |
| 1968 | 31 July 2006 | Valerie Barlow 's hostage experience plus Ena Sharples ' envy of Bobby the Cat. |
| 1969 | 31 July 2006 | Betty Turpin arrives, Minnie Caldwell 's gambling addiction plus the notorious coach crash to Windermere that hospitalises the residents of the street. |
