# FIDE World Rankings
> Top women

| Rank | Player | Rating |
| --- | --- | --- |
| 1 | Hou Yifan | 2658 |
| 2 | Ju Wenjun | 2583 |
| 3 | Koneru Humpy | 2580 |
| 4 | Anna Muzychuk | 2550 |
| 5 | Dronavalli Harika | 2542 |
| 6 | Mariya Muzychuk | 2539 |
| 7 | Alexandra Kosteniuk | 2538 |
| 8 | Viktorija Čmilytė | 2536 |
| 9 | Kateryna Lagno | 2530 |
| 10 | Nana Dzagnidze | 2522 |
| 12 | Zhao Xue | 2522 |
| 11 | Valentina Gunina | 2520 |
| 13 | Antoaneta Stefanova | 2515 |
| 14 | Marie Sebag | 2488 |
| 15 | Lela Javakhishvili | 2486 |
| 16 | Natalija Pogonina | 2484 |
| 17 | Nadezhda Kosintseva | 2483 |
| 18 | Lei Tingjie | 2480 |
| 19 | Shen Yang | 2479 |
| 20 | Aleksandra Goryachkina | 2475 |
