# Praetorian Guard
> Relationships between selected emperors and their Guard

| Emperor | Reign | Relationship with the Guard |
| --- | --- | --- |
| Augustus | 16 January 27 BC – 19 August 14 AD | Established the Praetorian Guard in 27 BC. [2] |
| Tiberius | 18 September 14 – 16 March 37 | Reduced the size of the guard and moved it from encampments outside of Rome to the Castra Praetoria . [3] |
| Caligula | 18 March 37 – 24 January 41 | Assassinated by the Guard. |
| Claudius | 24 January 41 – 13 October 54 | Declared Emperor by the Guard. |
| Nero | 13 October 54 – 9 June 68 | Eventually deserted by the Guard. [4] |
| Otho | 15 January – 16 April 69 | Overthrew Galba with the support of the Guard. |
| Vitellius | 16 April – 22 December 69 | Disbanded the existing Guard and appointed his own. |
| Vespasian | 1 July 69 – 23 June 79 | Reduced the size of the Guard after victory in 69. [5] |
| Titus | 23 June 79 – 13 September 81 | Served as Praetorian prefect prior to becoming Emperor. [6] |
| Domitian | 14 September 81 – 18 September 96 | Declared Emperor by the Guard following the death of Titus . Was later assassinated in a plot involving members of the Guard. |
| Pertinax | 1 January – 28 March 193 | Following the death of Commodus was declared Emperor by the Guard. Was subsequently killed by the Guard after refusing to pay them for their support. |
| Septimius Severus | 14 April 193 – 4 February 211 | Dismissed the entire Guard in 193 to replace it with men from his own Pannonian legions, e.g., the Legio XIV Gemina . |
| Maximinus Thrax | 20 March 235 – 10 May 238 | Following the assassination of Alexander Severus , the Guard acclaimed him emperor, and their choice was grudgingly confirmed by the Senate . [7] |
| Constantine the Great | 25 July 306 AD – 22 May 337 | Dissolved the Praetorian Guard for good after they had sided against him to fight alongside Maxentius ' troops at the Battle of the Milvian Bridge . |
