# Most Subscribed YouTube Channels (Selected) — Channel vs. Subscribers (Millions)

| Channel | Primary Category | Subscribers (Millions) | Notes |
| --- | --- | ---: | --- |
| T-Series | Music | 255.0 | Indian music label |
| MrBeast | Entertainment | 230.0 | Main channel only |
| Cocomelon - Nursery Rhymes | Education | 175.0 | Kids content |
| SET India | Entertainment | 170.0 | Sony Entertainment Television |
| Kids Diana Show | Kids | 120.0 | Family/kids channel |
| Like Nastya | Kids | 115.0 | Kids channel |
| PewDiePie | Gaming/Commentary | 111.0 | Individual creator |
| WWE | Sports | 104.0 | Wrestling organization |
| Zee Music Company | Music | 103.0 | Music label |
| Vlad and Niki | Kids | 100.0 | Kids channel |
