# Human Amino Acids by Dietary Requirement (Essential vs nullssential)

| Category | Amino Acid | Notes |
| --- | --- | --- |
| Essential | Histidine | Required in diet (adult) |
| Essential | Isoleucine | Branched-chain amino acid |
| Essential | Leucine | Branched-chain amino acid |
| Essential | Lysine | Often limiting in grains |
| Essential | Methionine | Sulfur-containing |
| Essential | Phenylalanine | Aromatic precursor |
| Essential | Threonine | Hydroxyl-containing |
| Essential | Tryptophan | Aromatic precursor |
| Essential | Valine | Branched-chain amino acid |
| Conditionally essential | Arginine | Increased need in growth/illness |
| nullssential | Alanine | Synthesized from pyruvate |
| nullssential | Aspartate | Synthesized from oxaloacetate |
| nullssential | Glutamate | Central in nitrogen metabolism |
