# Central Bank Policy Rates — Current Level and Most Recent Decision Date (Selected Economies)

| Region | Country | Central bank | Primary policy instrument | Current rate (%) | Decision / effective date | Frequency / meeting note |
| --- | --- | --- | --- | ---: | --- | --- |
| Asia | China | People’s Bank of China (PBoC) | 1-year Loan Prime Rate (LPR) | 3.45 | 2023-08-21 | Published monthly (LPR fixing) |
| Asia | India | Reserve Bank of India (RBI) | Policy repo rate | 6.50 | 2023-02-08 | Set at MPC meeting |
| Asia | South Korea | Bank of Korea (BOK) | Base rate | 3.50 | 2023-01-13 | Monetary Policy Board decision |
| Asia | Indonesia | Bank Indonesia (BI) | BI 7-Day Reverse Repo Rate | 6.00 | 2023-10-19 | Key policy rate |
| Asia | Singapore | Monetary Authority of Singapore (MAS) | S$NEER policy band (rate not in %) | N/A | 2024-04-12 | Exchange-rate based monetary policy (no single % rate) |
| Europe | Russia | Bank of Russia | Key rate | 16.00 | 2023-12-15 | Board of Directors decision |
| Europe | Turkey | Central Bank of the Republic of Türkiye (CBRT) | One-week repo rate | 42.50 | 2023-12-21 | Policy rate (MPC) |
| Africa | South Africa | South African Reserve Bank (SARB) | Repo rate | 8.25 | 2023-05-25 | MPC decision |
| Middle East | Saudi Arabia | Saudi Central Bank (SAMA) | Repo rate | 6.00 | 2023-07-26 | Moves often track the Fed |
| Middle East | Israel | Bank of Israel | Interest rate | 4.75 | 2023-05-22 | Monetary Committee decision |
| Americas | Chile | Central Bank of Chile | Monetary policy rate (TPM) | 8.25 | 2023-12-19 | Policy meeting decision |
| Americas | Colombia | Banco de la República | Policy interest rate | 13.00 | 2023-12-22 | Board decision |
