# Bible Canon Timeline  Approximate Composition Dates by Book

| Approx. Date Range | Book | Testament/Collection | Notes |
|---|---|---|---|
| c. 1000–900 BCE | Judges | Hebrew Bible/OT | Traditional early narratives |
| c. 950–850 BCE | 1 Samuel | Hebrew Bible/OT | Monarchy traditions |
| c. 900–700 BCE | Psalms (core) | Hebrew Bible/OT | Multi-stage compilation |
| c. 740–700 BCE | Amos | Hebrew Bible/OT | Early prophets |
| c. 620–580 BCE | Deuteronomy (core) | Hebrew Bible/OT | Reform-era strata |
| c. 580–520 BCE | Ezekiel | Hebrew Bible/OT | Exilic prophecy |
| c. 450–350 BCE | Chronicles | Hebrew Bible/OT | Post-exilic history |
| c. 200–100 BCE | Daniel | Hebrew Bible/OT | Maccabean-era layers |
| c. 50–60 CE | Galatians | New Testament | Pauline letter |
| c. 70–90 CE | Gospel of Matthew | New Testament | Synoptic tradition |
| c. 90–110 CE | Gospel of John | New Testament | Johannine tradition |
| c. 95–120 CE | Revelation | New Testament | Apocalyptic literature |
