# Major Exchanges  Ticker Symbols, Time Zones, and Trading Hours

| Exchange | MIC | Time Zone | Typical Hours | Notes |
|---|---|---|---|---|
| New York Stock Exchange | XNYS | America/New_York | 09:30–16:00 | Includes auction periods |
| NASDAQ | XNAS | America/New_York | 09:30–16:00 | Extended hours available |
| London Stock Exchange | XLON | Europe/London | 08:00–16:30 | Auctions at open/close |
| Euronext Paris | XPAR | Europe/Paris | 09:00–17:30 | CET/CEST seasonal |
| Tokyo Stock Exchange | XTKS | Asia/Tokyo | 09:00–11:30; 12:30–15:00 | Cash equities |
| Hong Kong Stock Exchange | XHKG | Asia/Hong_Kong | 09:30–12:00; 13:00–16:00 | Lunch break |
| Singapore Exchange | XSES | Asia/Singapore | 09:00–17:00 | Continuous trading |
| Korea Exchange | XKRX | Asia/Seoul | 09:00–15:30 | KOSPI/KOSDAQ |
| B3 (Brasil Bolsa Balcão) | BVMF | America/Sao_Paulo | 10:00–17:00 | Local daylight changes |
| Johannesburg Stock Exchange | XJSE | Africa/Johannesburg | 09:00–17:00 | No daylight saving |
