# Common Industrial Liquids — Specific Gravity (SG) at Reference Temperature

| Category | Liquid | Reference temperature (°C) | Specific Gravity (SG) |
| --- | --- | --- | --- |
| Water & aqueous | Distilled water | 20 | 1.000 |
| Water & aqueous | Seawater (typical) | 20 | 1.025 |
| Acids | Hydrochloric acid (≈37% w/w) | 20 | 1.19 |
| Acids | Sulfuric acid (≈98% w/w) | 20 | 1.84 |
| Bases | Sodium hydroxide solution (≈50% w/w) | 20 | 1.53 |
| Solvents | Methanol | 20 | 0.792 |
| Solvents | Isopropyl alcohol (2-propanol) | 20 | 0.786 |
| Hydrocarbons | Kerosene | 15 | 0.80 |
| Hydrocarbons | Diesel fuel (No. 2, typical) | 15 | 0.84 |
| Hydrocarbons | Gasoline (typical) | 15 | 0.74 |
| Refrigerants | Ethylene glycol (pure) | 20 | 1.11 |
